ParticipantName,[data quality]Value,[Gender]Value,MediaName,FixationIndex,SaccadeIndex,GazeEventType,GazeEventDuration,AOI[P]Hit,AOI[A]Hit,AOI[D]Hit,AOI[G]Hit,AOI[J]Hit,AOI[B]Hit,AOI[E]Hit,AOI[H]Hit,AOI[K]Hit,AOI[C]Hit,AOI[F]Hit,AOI[I]Hit,AOI[L]Hit,AOI[N]Hit,AOI[M]Hit,AOI[O]Hit,AOI[Q]Hit,AOI[R]Hit
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Bivent Pacer.JPG,,,Unclassified,95439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
